Incident Number,Lon,Latt
27030226,1.15829,51.13224
27031417,1.19104,51.08766
27032005,1.11216,51.07211
27032768,1.15015,51.08983
27033024,1.07621,51.0718
27033272,1.16042,51.08881
27035290,1.09627,51.11212
27037244,1.04987,51.09244
27037396,0.92182,51.18336
27039136,1.08928,51.0756
27040802,1.1373,51.08493
27041557,1.1739,51.0849
27042919,1.1608,51.07351
27043032,1.06601,51.08677
27043504,1.09574,51.06837
27046340,1.03821,51.05243
27046478,1.18707,51.07831
27046502,1.19463,51.08788
27046807,1.12264,51.09457
27047784,1.00075,51.07802
27048015,1.00139,51.07759
27048455,1.09094,51.07243
27049337,1.18143,51.08284
27049396,1.16021,51.08172
27049586,1.01409,51.08231
27049890,1.09333,51.06812
27050117,1.03329,51.13532
27050966,1.09865,51.13118
27051689,1.16825,51.10126
27052255,0.95551,51.13635
27053060,1.19261,51.09442
27055450,1.16351,51.07513
27055724,1.13067,51.08999
27057036,1.20921,51.11267
27057420,1.04296,51.15412
27058381,1.15712,51.13312
27058616,0.95436,51.19328
27058754,1.05149,51.0962
27058945,1.16337,51.08414
27059032,1.16245,51.0765
27059272,1.18211,51.09272
27059912,1.12402,51.07172
27061390,1.00602,51.0628
27061551,1.1522,51.11376
27062119,1.09457,51.10248
27063603,1.1821,51.08217
27063928,1.05149,51.0962
27064245,1.05149,51.0962
27065268,1.12606,51.095
27065590,1.12606,51.095
27066213,1.08666,51.07105
27066487,1.00078,51.13777
27067780,1.02891,51.07862
27069648,1.17795,51.08657
27070317,1.16341,51.08174
27071903,1.18015,51.07873
27072721,1.13871,51.09683
27075107,1.04712,51.09769
27077243,1.06334,51.11119
27077574,1.15118,51.09002
27077704,1.16059,51.09637
27077914,1.06928,51.07145
27078382,0.883,51.11067
27078671,1.05149,51.0962
27079578,1.17182,51.0885
27079766,1.16032,51.12929
27081392,1.02507,51.06106
27081508,1.09093,51.1268
27081668,1.16334,51.09121
27081931,1.16368,51.11571
27083757,0.94473,51.05744
27084339,1.07979,51.07927
27085896,1.15484,51.08356
27086044,1.04488,51.09487
27086314,1.17271,51.09503
27086918,1.19587,51.08515
27087243,1.17874,51.08679
27087754,1.2084,51.10099
27088304,1.08111,51.13657
27088472,1.09923,51.07991
27089246,1.08854,51.07109
27090011,1.20752,51.12789
27091252,1.13067,51.08999
27092212,1.17152,51.0788
27092308,1.20752,51.12789
27093011,1.18559,51.0786
27093291,1.16489,51.09494
27095201,1.19591,51.09333
27096246,1.21014,51.10284
27098318,1.17069,51.11372
27099367,0.94417,51.1064
27100093,1.14223,51.09493
27100835,1.15415,51.07671
27100915,1.00074,51.07833
27101365,1.12213,51.07185
27102483,1.15019,51.08654
27102487,1.17123,51.10753
27105289,1.12667,51.09435
27106934,1.08194,51.07174
27107310,1.14091,51.08706
27108351,1.15838,51.07987
27108452,1.17704,51.08559
27109558,1.19154,51.08436
27109893,0.94473,51.05744
27110616,1.15724,51.09035
27110651,1.15724,51.09035
27111345,1.18559,51.0786
27115111,1.16597,51.09432
27115703,1.18001,51.08125
27117752,0.92231,51.1184
27118053,1.00289,51.14161
27118851,1.00069,51.07851
27118858,1.00854,51.07767
27119122,1.12944,51.08933
27120877,1.07207,51.07048
27122372,1.04712,51.09769
27122634,1.09289,51.07462
27123380,1.13067,51.08999
27123396,0.94397,51.09481
27123741,1.13609,51.08051
27123853,1.20752,51.09419
27124106,1.01665,51.07462
27124484,1.11786,51.07196
27124678,1.12585,51.08978
27125965,1.03881,51.173
27127527,1.07875,51.07047
27128184,1.12652,51.09156
27128378,1.13451,51.0892
27129259,1.18172,51.0821
27129545,1.16355,51.08271
27130282,1.06902,51.08322
27130665,1.15956,51.11588
27131479,1.14846,51.08104
27131805,0.88956,51.12577
27132174,1.17815,51.07977
27132840,1.02422,51.09929
27134057,1.04637,51.06294
27135503,1.0375,51.09042
27135644,1.16231,51.08175
27137783,1.17956,51.09167
27137842,1.05149,51.0962
27138817,1.07629,51.08118
27140755,1.13609,51.08402
27141737,1.08211,51.07111
27142436,1.07178,51.07152
27144677,1.09173,51.12912
27144798,1.11809,51.07598
27146965,1.15422,51.07562
27147322,1.12606,51.095
27147480,1.13042,51.09142
27148088,1.17901,51.0892
27151793,1.31561,51.11322
27152016,0.96234,51.12068
27152051,0.883,51.11067
27154062,1.16185,51.1126
27155835,1.04581,51.09504
27156241,0.96256,51.12188
27156490,1.03245,51.08019
27156751,1.18637,51.08549
27157239,1.08164,51.06987
27157352,1.1571,51.07379
27159950,1.13801,51.08601
27160459,1.15782,51.09475
27160890,1.08493,51.06577
27161084,1.16059,51.09637
27161267,1.15198,51.0825
27161374,1.04953,51.06339
27161723,1.17808,51.09643
27162043,1.122,51.07203
27162349,1.04712,51.09769
27163281,1.01007,51.09429
27163327,1.15608,51.08803
27164603,1.18211,51.09272
27165386,1.2207,51.10182
27165420,1.04397,51.05774
27165782,1.14894,51.08719
27166041,1.13936,51.07318
27169244,1.1608,51.07351
27169733,0.92198,51.10976
27172535,1.05149,51.0962
27173028,1.07967,51.07747
27173186,1.15782,51.09475
27174437,1.15174,51.08724
27174602,1.00074,51.07833
27174780,0.97278,51.12522
27175136,1.11931,51.07619
27176708,1.05149,51.0962
27177451,1.18211,51.09272
27177475,1.15804,51.13035
27177542,1.1704,51.08854
27177693,1.12667,51.09435
27177824,1.17746,51.08745
27178705,0.94473,51.05744
27179203,1.18059,51.08548
27179705,1.15913,51.07656
27179911,1.13936,51.07318
27179965,1.12606,51.095
27181180,1.12606,51.095
27181471,1.04581,51.09504
27181703,1.13069,51.09071
27182152,1.08243,51.07334
27182265,1.19691,51.08635
27183911,1.10481,51.08084
27183925,0.94473,51.05744
27184010,1.12755,51.08617
27184638,0.92382,51.1817
27184673,1.16594,51.08596
27186606,1.15689,51.09419
27187684,1.16159,51.09763
27188528,1.12363,51.08977
27188534,0.91347,51.13603
27188884,1.18451,51.11459
27189316,1.16961,51.08285
27191405,1.20139,51.09164
27192372,1.05149,51.0962
27193925,1.14477,51.08682
27196431,1.15416,51.0771
27196785,1.16482,51.11559
27197034,0.89442,51.10888
27198349,1.01742,51.09273
27199429,0.94597,51.09264
27199451,0.98299,51.11004
27200234,1.20237,51.11226
27201092,1.16683,51.11229
27202743,1.04488,51.09487
27203023,1.08445,51.12772
27203233,1.12402,51.07172
27203674,1.01669,51.07535
27205666,1.09574,51.06837
27206224,0.95716,51.14681
27206533,1.17538,51.07677
27207907,1.12606,51.095
27208002,1.09594,51.06797
27208449,1.22695,51.10051
27208790,1.17915,51.08738
27209494,1.13069,51.09071
27209616,1.02433,51.07488
27211141,1.18602,51.08291
27211733,1.12107,51.07727
27211751,1.04488,51.09487
27212346,0.98639,51.1126
27213218,1.16339,51.09053
27213348,1.16253,51.11743
27214088,0.91645,51.09336
27214145,1.08593,51.12858
27214371,1.18032,51.08737
27214698,0.91347,51.13603
27216055,1.15867,51.13264
27216492,1.09307,51.12839
27216742,1.12572,51.07205
27217905,1.17174,51.08623
27218530,1.18553,51.09083
27219146,1.13712,51.08224
27219338,1.15346,51.08399
27221371,1.03568,51.08563
27221468,0.99116,51.10079
27221819,1.18247,51.09074
27223133,1.17815,51.08706
27223703,1.15272,51.07712
27224145,1.08854,51.07109
27224612,1.12593,51.0942
27225626,1.18038,51.08827
27226527,1.19587,51.08515
27226793,0.93241,51.16492
27227124,1.14215,51.08839
27227742,1.14907,51.08692
27228485,1.08111,51.13657
27229146,1.07621,51.0718
27229670,1.18671,51.08151
27229813,1.12385,51.09001
27230146,1.01333,51.05808
27230636,0.9172,51.1321
27230952,1.01522,51.09049
27231919,1.18056,51.08279
27234880,1.02539,51.07862
27236557,1.04581,51.09504
27236633,1.02205,51.07256
27237303,1.04581,51.09504
27238719,1.16963,51.11915
27240500,1.20657,51.1011
27241553,1.15643,51.10909
27242183,1.20245,51.09756
27244758,0.93579,51.17518
27245132,1.08449,51.06882
27245257,1.13067,51.08999
27245625,1.10292,51.08934
27247471,1.18287,51.07933
27247637,1.08685,51.12721
27247970,1.04588,51.06307
27248447,1.08854,51.07109
27248889,0.92907,51.186
27250020,1.05149,51.0962
27250758,1.05027,51.09362
27252204,1.12667,51.09435
27252267,1.0438,51.06232
27252291,1.03142,51.06838
27252593,1.02882,51.08024
27254415,1.06524,51.07515
27255435,1.07331,51.07365
27256147,1.12585,51.08978
27256255,1.19598,51.09465
27257482,1.12476,51.07184
27260435,1.12585,51.08978
27260689,1.1348,51.09238
27260723,1.13451,51.0892
27262697,1.04488,51.09487
27263105,0.95614,51.11153
27263538,1.13593,51.08587
27263792,1.16048,51.07827
27265314,1.18856,51.08265
27265509,1.08891,51.1303
27265886,1.18559,51.0786
27267988,1.12249,51.09668
27268315,1.05883,51.06453
27268444,0.96001,51.12223
27268799,1.09453,51.0684
27268951,1.12667,51.09435
27269394,1.00074,51.07833
27269616,0.95032,51.1573
27270730,1.11655,51.07379
27272039,0.9342,51.1842
27272278,1.1606,51.0915
27272537,1.13618,51.08946
27274618,1.00602,51.0628
27276503,1.1808,51.0895
27277677,1.17462,51.07972
27277703,1.13217,51.07248
27278508,1.11674,51.07649
27278642,1.17195,51.0903
27279485,1.07643,51.07197
27279583,1.17901,51.0892
27280931,1.13451,51.08873
27281138,1.07777,51.07033
27281149,1.0441,51.09496
27281586,1.16567,51.08543
27281631,1.14262,51.08582
27282528,1.14909,51.07564
27283313,1.1348,51.09238
27284160,1.16442,51.11648
27285135,1.06565,51.106
27287047,1.15818,51.0893
27288543,1.17585,51.07631
27289089,0.93141,51.12211
27291051,1.14594,51.0785
27291058,1.16339,51.09053
27292611,1.00567,51.10339
27292943,1.15867,51.13264
27294336,1.12667,51.09435
27295101,1.13737,51.0724
27295289,1.18391,51.07791
27295908,1.18015,51.08642
27297119,1.15712,51.13312
27297386,0.93781,51.18379
27297760,1.09556,51.11366
27298922,1.14722,51.08377
27300171,1.16344,51.11212
27300636,1.16793,51.07651
27301206,1.12989,51.08999
27301460,1.16185,51.1126
27301613,1.13366,51.07334
27303098,1.11618,51.09329
27303824,0.95539,51.115
27304122,1.18861,51.08324
27304995,1.0448,51.05528
27305053,1.1851,51.09675
27305409,1.17734,51.08088
27305668,1.01409,51.08231
27306728,0.98848,51.12482
27307049,1.1859,51.08542
27307810,1.15829,51.13224
27308198,0.92933,51.18501
27308459,1.17964,51.08623
27308738,1.08092,51.06708
27308786,0.92933,51.18501
27308936,0.90021,51.1141
27309174,1.15581,51.10864
27309187,1.07243,51.06935
27309978,1.09538,51.0941
27310141,1.16538,51.07788
27310610,1.23924,51.10376
27310818,1.16949,51.08115
27311234,1.14995,51.08189
27312420,1.12667,51.09435
27312762,0.93871,51.08433
27313428,1.08377,51.07467
27313845,1.16189,51.11636
27315468,1.04731,51.06303
27315672,1.08545,51.0715
27315962,1.11222,51.07301
27316050,0.94399,51.12409
27316307,1.054,51.12375
27316618,1.16489,51.09494
27316913,1.07207,51.07048
27317429,0.88956,51.12577
27317643,1.12084,51.09942
27318783,0.9192,51.18234
27319292,1.03075,51.05583
27319594,1.13067,51.08999
27320275,1.14141,51.08147
27321835,1.08918,51.06826
27322361,1.18025,51.08647
27322409,0.924,51.18915
27322755,1.15548,51.09591
27323999,1.18559,51.0786
27325055,1.15395,51.08542
27325829,1.14661,51.07479
27326039,0.99839,51.13744
27327006,1.15333,51.11059
27327543,1.15936,51.08651
27328094,1.08423,51.07283
27329149,1.0236,51.07534
27329370,1.15565,51.08174
27329456,1.15829,51.13224
27330010,1.15829,51.13224
27330809,1.07045,51.0823
27332739,1.17915,51.08738
27333041,1.18831,51.08065
27333443,1.1598,51.08514
27334727,1.18378,51.0888
27334895,1.16374,51.0749
27337940,1.08867,51.12671
27338868,1.18541,51.08576
27339186,0.94195,51.17997
27340985,1.18135,51.08357
27341882,1.07777,51.07033
27341941,1.1768,51.08581
27342954,1.17182,51.0885
27344200,1.00488,51.16162
27344424,1.16489,51.09494
27344494,1.16649,51.08465
27344727,1.17901,51.0892
27345667,1.16442,51.07471
27345681,1.16489,51.09494
27346641,1.16296,51.11978
27347092,1.17807,51.09575
27348484,0.92855,51.14637
27349214,1.16141,51.08248
27349339,1.16385,51.07917
27349554,1.07661,51.07245
27349933,1.18194,51.08272
27351642,1.13651,51.08039
27352683,1.13067,51.08999
27353668,1.16059,51.09637
27356575,1.09132,51.07225
27357349,1.01319,51.08163
27357585,1.19939,51.09641
27357951,1.16345,51.09143
27358041,1.2389,51.10426
27361712,1.04409,51.09493
27366300,0.91347,51.13603
27368407,1.05149,51.0962
27368953,1.16597,51.09432
27369074,0.9299,51.18688
27371388,1.08317,51.06568
27372988,1.03137,51.13114
27373977,0.91347,51.13603
27374225,1.15068,51.08676
27375283,1.00078,51.13777
27377568,1.16107,51.08527
27377582,1.04712,51.09769
27378677,1.04462,51.1205
27378868,1.16246,51.09074
27380417,0.93974,51.09501
27380695,1.21037,51.10301
27381867,1.18547,51.08792
27381892,1.14677,51.08758
27382259,1.12667,51.09435
27384057,0.94378,51.12437
27384987,1.1348,51.09238
27385202,1.16961,51.08285
27386236,1.08968,51.0673
27386379,1.13155,51.07591
27386994,1.07076,51.07231
27387318,1.14596,51.08216
27388029,1.20752,51.09419
27388663,1.18267,51.08011
27388880,1.48289,51.02125
27389829,1.13285,51.08626
27391725,1.17182,51.08818
27392284,1.18612,51.08023
27393942,1.16597,51.09432
27394325,0.93805,51.17915
27394609,1.08295,51.06545
27394803,1.02662,51.16162
27395120,1.0123,51.09154
27395440,1.05149,51.0962
27395704,1.18391,51.08325
27396292,1.16351,51.07513
27396361,1.17078,51.08101
27396856,1.18607,51.08176
27399598,1.077,51.08024
27399771,1.1614,51.08173
27400592,1.0086,51.10451
27401442,1.17308,51.08882
27401883,1.17807,51.09575
27402477,1.14858,51.07617
27404219,1.17955,51.09605
27405207,1.1348,51.09238
27405904,1.04488,51.09487
27405977,1.16487,51.11764
27406076,0.97804,51.12637
27406363,1.16762,51.08216
27406748,1.18755,51.08306
27407715,1.13049,51.09024
27408448,1.16489,51.09494
27408634,1.16766,51.08594
27409111,1.22251,51.10056
27410048,1.07614,51.08437
27411268,0.94164,51.09662
27412023,1.16217,51.09629
27412883,1.15924,51.09244
27413763,1.05893,51.09758
27413933,1.13069,51.09071
27413941,1.15383,51.07335
27414629,1.18095,51.08752
27414677,1.01961,51.07182
27415000,1.18078,51.08814
27415119,0.89442,51.10888
27415931,0.95042,51.12219
27416066,1.13106,51.08864
27417306,1.15829,51.13224
27417562,1.17746,51.08745
27418111,1.03792,51.097
27418201,1.14018,51.07333
